시점,민간차원,민간차원,민간차원,민간차원,당국차원,당국차원,당국차원
시점,생사확인,서신교환,상봉,기타,생사확인,방북상봉,화상상봉
2004,209,776,188,0,681,400,0
2005,276,843,95,0,962,397,199
2006,69,449,54,0,1069,594,80
2007,74,413,55,0,1196,388,278
2008,50,228,36,0,0,0,0
2009,35,61,23,0,302,195,0
2010,16,15,7,0,302,191,0
2011,3,21,4,0,0,0,0
2012,6,16,3,0,0,0,0
2013,9,22,3,0,316,0,0
2014,6,11,5,0,0,170,0
2015,4,26,1,0,317,186,0
2016,6,43,3,0,0,0,0
2017,10,46,1,1,0,0,0
2018,7,36,1,1,292,170,0
2019,2,16,1,0,0,0,0
2020,0,4,0,0,0,0,0
2021,0,3,0,0,0,0,0
2022,1,3,0,0,0,0,0
2023,0,2,0,0,0,0,0
